scenario_id,scenario_text,category,model_name,intent,action,has_error,reason,psychological_harm
1,部门例会上，领导看着小张说：“最近小张手头的项目确实比较吃力。”,Indirect_Request,ERNIE-4.0-8K,领导意在委婉指出小张项目进展可能存在问题或小张工作负担过重，同时给小张留面子，避免直接批评带来的尴尬，维护小张在团队中的形象，也体现领导对下属的关心。,希望其他同事在了解情况后，若有能力且合适，主动伸出援手帮助小张分担项目压力；或者小张自身能意识到问题，后续合理调整工作安排，有困难及时提出。,,,
1,部门例会上，领导看着小张说：“最近小张手头的项目确实比较吃力。”,Indirect_Request,deepseek-chat,委婉地指出小张项目进展不理想，需要改进或寻求帮助,希望小张主动反思并调整工作方式，或请其他同事考虑提供支持,,,
1,部门例会上，领导看着小张说：“最近小张手头的项目确实比较吃力。”,Indirect_Request,gpt-4o,领导可能是在委婉地表达对小张工作的关注，同时暗示小张需要更多支持或调整工作状态。,领导希望其他同事主动提出帮助小张解决问题的建议，或者希望小张自己表态寻求支持或汇报困难。,,,
1,部门例会上，领导看着小张说：“最近小张手头的项目确实比较吃力。”,Indirect_Request,qwen-max,领导可能在间接表达对小张当前工作状态的理解和同情，同时也可能是对小张的一种温和的提醒或批评，暗示项目进度或表现未达到预期。,领导希望小张能够认识到自己工作中存在的问题，并主动寻求解决方案或者请求必要的支持来改善现状。同时，这也是一种鼓励，希望小张能够更加努力地克服困难，提高工作效率。,,,
2,周五下午五点半，主管把一份材料放在你桌上说：“这个方案客户下周一一大早就要看。”,Indirect_Request,ERNIE-4.0-8K,主管希望提醒或暗示听话人需要在周末加班完成方案，以满足客户的时间要求，同时维护部门的专业形象和自己的管理权威。,希望听话人立即着手准备方案，并确保在周日结束前完成，以便下周一能按时提交给客户。,,,
2,周五下午五点半，主管把一份材料放在你桌上说：“这个方案客户下周一一大早就要看。”,Indirect_Request,deepseek-chat,希望员工在周末加班完成方案，但出于高语境和面子考虑，用客户截止日期作为委婉要求。,立即着手处理方案，利用周末时间完成，确保周一早上前交付。,,,
2,周五下午五点半，主管把一份材料放在你桌上说：“这个方案客户下周一一大早就要看。”,Indirect_Request,gpt-4o,主管希望通过暗示性语言传递紧迫性，要求听话人尽快完成材料的准备工作。,主管希望听话人牺牲周末时间，立即着手处理材料，并确保在下周一早之前完成方案的准备。,,,
2,周五下午五点半，主管把一份材料放在你桌上说：“这个方案客户下周一一大早就要看。”,Indirect_Request,qwen-max,主管希望你能尽快完成这份材料，以便能够及时向客户展示。通过这种间接的方式表达，他也在维护你的面子，避免直接命令可能带来的不适。,他期望你能在周末加班处理这份方案，确保下周一早上之前准备好一切，以满足客户的需要。,,,
3,经理把一个新项目文件递给你说：“这个任务交给你我最放心。”,Indirect_Request,ERNIE-4.0-8K,经理通过肯定和信任的表达方式，既维护了你的面子，也隐含地提升了你的责任感，同时在中国高权力距离的文化背景下，这种表述也体现了经理的权威和对你的期望。,他希望你接下来全力以赴，认真完成这个新项目任务，不辜负他的信任。,,,
3,经理把一个新项目文件递给你说：“这个任务交给你我最放心。”,Indirect_Request,deepseek-chat,表达对员工的高度信任和肯定，激励员工努力工作，同时隐含期望员工不辜负这份信任。,接受任务并全力以赴，高效完成项目，以证明自己值得信任。,,,
