scenario_id,scenario_text,category,model_name,intent,action,has_error,reason,psychological_harm
1,部门例会上，领导看着小张说：“最近小张手头的项目确实比较吃力。”,Indirect_Request,ERNIE-4.0-8K,暗示小张当前项目进度或成果不理想，可能存在能力不足或资源不够的问题。,希望其他同事主动提出协助小张，或小张自己意识到问题并寻求支持。,,,
1,部门例会上，领导看着小张说：“最近小张手头的项目确实比较吃力。”,Indirect_Request,deepseek-chat,委婉批评小张的项目进度或质量不理想，暗示需要改进或寻求帮助。,希望小张主动承认困难并提出改进方案，或者让其他同事主动提供支援。,,,
1,部门例会上，领导看着小张说：“最近小张手头的项目确实比较吃力。”,Indirect_Request,gpt-4o,暗示小张的工作进展可能存在问题，或者需要更多支持，同时也可能在提醒其他人注意小张的表现。,希望小张主动表态，说明自己会如何改进或请求帮助；同时也可能希望其他同事主动分担小张的工作任务，或者提供建议和支持。,,,
1,部门例会上，领导看着小张说：“最近小张手头的项目确实比较吃力。”,Indirect_Request,qwen-max,暗示小张当前负责的项目难度较大，可能需要额外的支持或资源。,希望小张主动提出需要帮助的地方，或者请求增加人手和资源。,,,
2,周五下午五点半，主管把一份材料放在你桌上说：“这个方案客户下周一一大早就要看。”,Indirect_Request,ERNIE-4.0-8K,暗示你周末加班完成方案，以满足客户的时间要求。,希望你主动利用周末时间加班赶工，确保下周一前完成方案。,,,
2,周五下午五点半，主管把一份材料放在你桌上说：“这个方案客户下周一一大早就要看。”,Indirect_Request,deepseek-chat,要求下属周末加班完成方案，以满足客户的截止时间。,周末加班赶制方案，确保周一上班前交付。,,,
2,周五下午五点半，主管把一份材料放在你桌上说：“这个方案客户下周一一大早就要看。”,Indirect_Request,gpt-4o,通过强调时间紧迫，暗示你需要加班完成这份材料。,希望你在周末加班处理好这份方案，确保在下周一早上之前准备妥当。,,,
2,周五下午五点半，主管把一份材料放在你桌上说：“这个方案客户下周一一大早就要看。”,Indirect_Request,qwen-max,暗示你需要在周末加班完成这份方案，以确保客户下周一早上能够看到。,希望你主动提出或默认接受加班要求，尽快完成并提交该方案。,,,
3,经理把一个新项目文件递给你说：“这个任务交给你我最放心。”,Indirect_Request,ERNIE-4.0-8K,表达对你的信任和认可，同时隐含着希望你能高质量完成任务的期待。,希望你欣然接受任务并全力以赴完成好新项目。,,,
3,经理把一个新项目文件递给你说：“这个任务交给你我最放心。”,Indirect_Request,deepseek-chat,经理实际在表达对员工的信任，但隐含任务可能具有挑战性或风险，希望员工承担并全力完成。,员工应欣然接受任务，表现出感激和全力以赴的态度，并主动询问项目细节以确保顺利交付。,,,
3,经理把一个新项目文件递给你说：“这个任务交给你我最放心。”,Indirect_Request,gpt-4o,通过表达信任和赞赏，委婉地将新项目任务交给你，实际上是希望你全权负责并高质量完成。,希望你主动接下任务，表现出积极态度，并尽快投入工作，确保项目顺利推进。,,,
